hh_income,education,hh_lifeCycle,occupation_type,age,sex,hh_size,motif
7,3,2,1,66,1,2,HWOWH
7,4,2,4,67,2,2,HOOH
11,5,2,4,41,1,2,HWH
11,5,2,4,30,2,2,HWOH
6,3,2,3,69,1,3,HWWH
6,2,2,1,69,2,3,HWH
6,2,2,1,37,1,3,HWOH
10,5,6,4,40,1,3,HOWOH
10,5,6,4,38,2,3,HOH
8,4,5,4,52,2,2,HOWOH
7,4,1,4,41,2,1,HOH
7,4,6,2,49,2,4,HWOH
7,2,6,4,51,1,4,HWOWH
7,1,6,5,16,2,4,HWH
5,5,2,4,43,2,2,HWH
6,5,6,1,44,2,3,HOOH
6,5,1,4,51,1,1,HOH
11,5,2,4,33,2,2,HWH
11,5,2,4,32,1,2,HWH
5,5,10,4,70,2,2,HOWOH
10,4,6,4,45,2,4,HOH
10,4,6,4,44,1,4,HWH
11,5,2,4,58,2,2,HOWH
11,5,2,4,43,1,2,HWOWH
8,5,2,4,66,1,3,HWOH
8,5,2,4,58,2,3,HWH
8,5,2,4,30,2,3,HWOH
11,5,2,4,63,1,3,HWH
8,5,6,4,44,2,5,HOH
8,4,6,4,45,1,5,HWH
8,2,6,4,70,1,5,HWH
8,2,6,4,69,2,5,HOH
5,2,7,2,42,2,2,HWH
5,5,1,4,60,2,1,HOOH
8,4,6,4,37,1,4,HWH
9,5,4,1,32,2,3,HWOH
9,5,4,4,33,1,3,HOH
9,5,10,4,54,2,2,HWH
6,3,2,3,25,1,2,HWH
6,5,10,4,69,2,2,HWH
11,5,2,4,24,1,3,HWOH
11,4,2,4,25,1,3,HWH
7,5,7,1,44,2,2,HOOH
7,1,7,5,16,1,2,HOOH
8,4,2,3,29,1,2,HWWH
8,4,2,4,26,2,2,HOWH
6,5,2,4,61,2,2,HOOH
6,5,2,4,35,2,2,HWOH
8,5,1,4,43,2,1,HOWOH
9,4,2,4,64,1,2,HWH
8,4,2,4,26,1,2,HWH
8,4,2,4,26,2,2,HWH
3,2,6,1,21,2,6,HWH
3,1,6,1,48,1,6,HWH
8,5,1,4,29,2,1,HWOWH
6,4,6,1,46,2,3,HWH
1,4,1,4,28,2,1,HWWH
6,5,1,4,32,2,1,HOWOH
5,4,2,2,29,1,2,HWOWH
5,5,2,4,27,2,2,HWOH
4,3,5,2,52,2,3,HWOH
4,1,5,5,16,2,3,HOH
2,5,6,3,28,2,3,HWH
2,4,6,3,31,1,3,HWH
4,5,6,4,46,1,4,HOWOH
4,1,6,5,16,2,4,HWH
8,5,6,4,43,1,4,HWOWH
11,5,6,4,49,1,5,HWH
11,5,6,3,46,2,5,HOOH
11,3,6,1,19,1,5,HOWH
7,4,2,4,70,1,2,HWH
7,5,2,1,62,2,2,HWH
5,2,8,1,63,2,3,HWOWH
2,2,10,1,66,1,2,HOH
8,5,2,3,66,2,3,HWH
8,5,2,4,67,1,3,HWOH
8,4,2,4,28,1,3,HOH
11,4,2,4,54,1,3,HOH
6,4,1,4,38,1,1,HWH
9,4,2,4,28,2,2,HWH
9,4,2,3,28,1,2,HWH
6,2,2,3,50,2,3,HWH
6,2,2,2,25,1,3,HWH
7,5,10,4,69,2,2,HWWH
8,5,2,4,30,2,2,HOWH
8,5,2,1,30,1,2,HOH
6,5,1,4,31,2,1,HWOH
7,2,1,1,49,2,1,HOWH
4,4,1,4,28,2,1,HOOH
10,5,2,4,35,1,2,HWH
10,5,2,4,35,2,2,HOWOH
6,3,1,3,58,1,1,HWOWH
9,4,4,1,30,1,3,HWH
9,3,4,2,30,2,3,HWH
9,5,6,4,45,2,5,HWH
9,1,6,5,17,1,5,HWH
10,4,8,4,55,2,3,HOWH
10,2,8,1,55,1,3,HOWOH
10,1,8,5,17,2,3,HOH
3,5,1,4,29,2,1,HOH
8,5,1,4,48,2,1,HOH
6,4,1,4,29,1,1,HWH
3,5,1,4,66,2,1,HWH
9,5,2,4,31,2,2,HOWH
2,3,1,1,60,2,1,HWOH
8,5,1,4,58,1,1,HWOH
8,3,2,2,57,2,2,HWH
8,3,2,1,55,1,2,HWH
5,4,1,4,65,2,1,HWH
6,3,10,1,60,2,2,HWH
9,4,1,4,28,1,1,HWH
4,5,2,4,34,1,2,HOWH
10,5,3,4,48,2,2,HOWOH
6,5,1,4,40,2,1,HWOWH
7,3,2,3,60,1,2,HWH
11,5,10,4,68,1,2,HWOWH
8,5,2,4,48,2,2,HWOH
8,4,2,4,35,1,2,HWH
10,4,2,3,46,1,2,HWOH
10,4,2,4,49,2,2,HWOH
8,3,2,4,50,2,2,HWH
8,2,2,3,52,1,2,HOWH
10,5,1,4,58,2,1,HWH
5,4,2,3,30,2,2,HWWH
5,3,2,1,39,1,2,HOH
6,3,1,2,61,2,1,HWH
6,2,1,3,49,1,1,HWOH
10,3,6,4,40,2,5,HOOH
10,4,6,4,32,1,5,HWH
10,5,8,4,61,1,3,HWH
10,5,8,4,59,2,3,HWH
10,1,8,5,16,2,3,HOH
5,3,10,2,74,2,2,HWOH
5,3,10,3,72,1,2,HWH
6,4,1,1,28,1,1,HOOH
11,4,1,4,59,1,1,HWWH
11,5,2,4,43,2,2,HWOWH
11,5,2,4,45,1,2,HOWH
4,3,2,3,64,1,2,HOH
8,4,2,2,52,2,3,HWOH
8,2,2,4,56,1,3,HWOH
2,2,10,1,64,1,2,HOH
7,4,1,4,32,2,1,HWH
9,4,6,4,43,1,4,HWOH
9,4,6,1,41,2,4,HOOH
9,1,6,5,16,1,4,HOH
8,4,10,1,59,1,2,HOH
4,4,2,1,32,1,2,HOWH
4,2,2,1,30,2,2,HOOH
8,4,2,4,60,1,2,HWWH
11,5,6,4,47,2,4,HOWOH
6,3,2,2,59,1,2,HWH
6,2,2,2,53,2,2,HOOH
5,3,1,2,27,1,1,HWOH
8,5,2,4,41,2,2,HOWH
8,5,2,4,41,2,2,HWH
1,4,8,4,58,2,3,HOWOH
1,1,8,5,16,1,3,HWH
7,3,10,4,61,2,2,HOWH
7,3,4,4,36,1,3,HWH
8,3,6,2,39,2,3,HWH
8,3,6,3,58,1,3,HWH
6,5,2,2,28,1,2,HWOH
6,5,2,4,29,2,2,HWOH
11,5,2,4,55,1,2,HWOH
11,5,2,4,53,2,2,HWH
7,4,6,4,39,2,3,HWH
7,3,6,4,34,1,3,HWH
8,5,10,4,74,1,2,HWH
8,5,10,4,68,2,2,HOH
1,4,1,4,22,1,1,HOH
9,5,2,4,58,1,2,HWH
8,5,5,1,42,1,3,HWWH
4,4,2,4,23,1,2,HWH
4,3,2,1,21,2,2,HWH
11,5,8,4,52,2,4,HOWOH
11,5,8,4,52,1,4,HWOWH
11,1,8,5,16,2,4,HWH
10,4,2,4,51,2,2,HOWOH
10,3,2,1,52,1,2,HWOWH
11,5,1,4,68,2,1,HOOH
7,4,4,4,33,1,4,HOWH
7,2,4,3,58,1,4,HOWH
7,3,2,1,30,2,2,HOOH
11,5,2,4,63,2,2,HWOH
11,5,2,4,61,1,2,HOWH
3,2,5,1,49,2,3,HWH
3,2,5,3,18,1,3,HWH
6,4,5,4,47,1,2,HWH
7,4,8,2,53,2,4,HWOH
7,4,8,4,54,1,4,HWH
7,3,8,3,20,1,4,HWH
7,3,8,1,19,2,4,HWOWH
4,5,1,4,73,1,1,HOWH
6,5,2,4,30,1,2,HOWH
6,4,2,1,26,2,2,HOWH
6,3,10,4,45,2,3,HWH
7,5,1,4,62,2,1,HWOH
6,3,1,2,66,1,1,HWOWH
7,5,2,4,31,1,2,HWOH
7,5,2,4,34,2,2,HWOH
4,2,1,1,66,2,1,HWOH
11,5,2,4,63,1,2,HWOH
11,5,2,4,61,2,2,HOH
7,2,10,1,20,1,3,HOH
6,5,1,4,26,2,1,HWH
1,4,5,4,34,1,2,HOWOH
8,4,10,4,59,1,4,HWWH
8,4,10,4,59,2,4,HOOH
8,4,10,4,26,1,4,HWOWH
6,4,2,4,23,1,2,HWH
6,3,2,4,23,2,2,HWWH
3,4,10,4,55,1,2,HOOH
4,1,4,1,32,2,3,HOH
4,1,4,1,33,1,3,HOH
5,2,10,1,72,2,3,HWH
6,3,1,3,37,1,1,HWH
8,3,9,4,78,1,1,HWOWH
5,2,8,4,37,2,3,HOH
5,2,8,1,38,1,3,HOH
5,3,8,4,20,2,3,HOH
4,3,1,3,55,2,1,HWH
8,4,2,1,54,2,2,HOH
8,4,2,4,54,1,2,HWWH
4,3,10,4,68,2,2,HOH
2,5,6,4,48,1,5,HWH
2,2,6,1,19,1,5,HWH
2,1,6,5,17,2,5,HWH
9,4,2,4,38,1,2,HWOH
9,5,2,2,51,2,2,HWH
11,5,2,4,62,1,2,HOH
11,5,2,4,60,2,2,HWH
7,3,2,3,70,2,2,HOOH
7,4,2,1,70,1,2,HOOH
5,5,2,4,40,2,3,HOH
5,5,2,4,43,1,3,HWH
5,3,2,3,25,1,3,HWOWH
8,5,1,4,69,1,1,HOWH
6,3,1,2,70,2,1,HWH
6,4,1,4,33,2,1,HWH
11,5,4,4,36,2,4,HOOH
11,5,4,4,38,1,4,HWOWH
9,4,2,3,62,1,3,HWWH
9,4,2,1,28,2,3,HOWH
7,3,5,4,42,1,2,HOWOH
5,2,2,4,53,1,2,HWH
5,2,10,1,33,1,3,HOWH
8,5,10,4,71,1,2,HOOH
6,3,1,4,64,2,1,HWOH
9,5,4,4,34,1,4,HWH
10,5,2,4,61,1,2,HWWH
10,5,2,4,59,2,2,HWH
6,4,1,4,42,2,1,HOOH
10,5,2,4,32,1,2,HWOH
7,5,1,4,31,1,1,HWH
11,3,2,4,56,1,2,HOOH
6,5,1,4,62,1,1,HOWOH
5,4,6,2,49,2,5,HWH
5,3,6,1,50,1,5,HWH
5,1,6,5,17,1,5,HWH
10,4,2,4,27,2,3,HOH
10,4,2,4,40,1,3,HWH
11,5,2,4,67,1,2,HWOH
11,4,2,4,66,2,2,HWH
5,5,2,4,24,2,2,HWOH
5,4,2,1,29,2,2,HOWOH
7,3,2,2,60,2,2,HOWH
7,3,2,3,55,1,2,HOWH
9,4,2,4,51,1,2,HOOH
9,2,2,4,46,2,2,HOOH
10,4,2,4,27,2,2,HOH
11,5,2,4,62,1,2,HWWH
11,4,2,4,54,2,2,HWH
5,4,2,4,70,1,2,HWOH
8,5,2,4,62,1,2,HWH
9,4,10,4,67,2,2,HWOH
5,3,2,3,56,1,2,HOWOH
5,2,2,3,25,1,2,H
7,4,2,3,63,1,2,HWH
7,2,2,2,62,2,2,HWH
7,3,6,4,39,1,4,HWH
7,3,6,4,32,2,4,HOH
11,5,4,4,43,1,3,HWWH
11,5,4,4,35,2,3,HOWOH
10,3,2,4,53,1,3,HOOH
10,3,2,4,58,2,3,HWH
2,3,2,3,36,1,4,HWH
2,3,2,1,34,1,4,HWH
4,3,1,4,52,2,1,HWOH
7,2,2,3,55,1,3,HWH
7,4,2,1,28,2,3,HWOH
7,2,2,1,32,1,3,HWH
11,5,4,4,32,1,3,HWOH
11,5,4,4,33,2,3,HOH
6,5,2,4,64,2,2,HWOH
6,2,2,1,69,1,2,HWOH
5,5,1,4,58,2,1,HWWH
8,5,1,4,36,1,1,HOWOH
7,5,6,4,36,1,3,HOWH
7,5,6,4,31,2,3,HWOH
7,5,1,4,40,2,1,HOWOH
6,4,10,1,61,1,3,HOWH
10,5,2,4,63,2,2,H
10,5,2,4,59,1,2,HWH
7,4,10,4,60,1,2,HWH
8,2,10,1,64,1,3,HOH
8,4,4,4,33,1,4,HOWH
8,4,4,4,33,2,4,HWOH
7,3,2,1,65,1,3,HWH
7,2,2,4,25,1,3,HWOH
6,3,1,3,57,1,1,HOWH
8,4,4,4,27,2,3,HWH
8,4,4,4,26,1,3,HWOH
7,5,2,4,32,2,2,HWH
7,4,2,1,33,1,2,HWH
7,5,6,4,44,2,3,HOH
8,4,2,4,27,2,2,HWH
8,4,2,4,30,1,2,HWH
7,4,1,4,27,2,1,HWH
9,5,6,4,47,2,3,HWOH
9,5,6,4,48,1,3,HOOH
8,5,4,4,41,1,3,HOWH
8,4,4,4,36,2,3,HOWOH
7,5,6,4,49,2,3,HWOH
7,2,6,3,50,1,3,HOWH
8,5,2,4,60,2,2,HOWOH
11,5,2,4,64,1,2,HWWH
9,4,2,4,65,1,2,HWH
9,5,2,4,58,2,2,HOH
8,4,2,3,38,1,2,HWH
8,3,2,1,35,2,2,HWOH
8,5,1,4,58,2,1,HWH
11,5,2,4,56,2,2,HWH
11,5,4,4,38,1,4,HWOWH
7,1,1,1,78,1,1,HOWH
10,5,2,4,31,2,2,HWH
10,5,2,4,30,1,2,HWH
8,4,2,1,49,1,2,HOH
8,4,2,1,47,1,2,HWOH
7,2,2,3,58,1,2,HOH
8,5,2,4,65,1,2,HWOH
8,2,2,1,64,2,2,HWH
10,4,2,4,63,1,2,HOWOH
10,5,2,4,56,2,2,HWH
6,5,2,4,31,2,2,HWH
8,4,6,2,32,2,3,HWH
8,2,6,3,37,1,3,HOWH
7,2,10,4,69,1,2,HOH
11,5,4,4,33,2,3,HOWOH
11,3,4,1,34,1,3,HWH
7,3,1,4,52,1,1,HOWH
6,4,1,1,39,1,1,HWOH
7,4,1,4,26,1,1,HOH
11,5,10,4,73,2,2,HWOH
9,5,6,4,44,2,4,HOOH
9,4,6,4,49,1,4,HWH
11,4,6,4,51,1,5,HWH
11,1,6,5,16,1,5,HWH
3,5,1,4,60,2,1,HWH
8,3,6,1,53,2,4,HWH
8,2,6,4,48,1,4,HOOH
8,3,6,1,19,1,4,HWH
9,4,2,4,63,1,2,HWOH
8,2,2,3,42,1,2,HWOH
10,4,2,4,55,2,2,HWOH
10,4,2,4,57,1,2,HOWH
5,3,1,4,53,2,1,HOOH
7,5,4,4,36,2,4,HOOH
7,4,4,4,33,1,4,HOOH
8,5,6,4,42,2,4,HWOH
11,5,4,1,39,1,5,HOOH
11,5,4,4,39,2,5,HOOH
10,4,2,2,73,2,2,HWH
10,5,2,4,70,1,2,HOH
6,4,1,2,64,2,1,HWOH
5,4,2,4,29,2,2,HOH
11,5,2,4,34,2,2,HWH
9,4,4,4,43,2,4,HOWH
9,4,4,1,43,1,4,HWH
11,5,6,4,54,1,4,HOWOH
11,5,6,4,49,2,4,HOWOH
11,1,6,5,17,2,4,HWH
7,3,1,4,51,2,1,HOWOH
9,4,6,4,47,1,4,HOOH
9,3,6,2,44,2,4,HWOH
8,4,5,4,54,2,2,HWH
7,5,6,4,51,2,3,HOH
2,4,1,4,63,1,1,HOH
10,5,6,4,38,2,5,HWH
10,5,6,4,49,1,5,HWOH
10,1,6,5,16,2,5,HOWH
8,5,2,4,44,1,2,HWH
9,5,2,4,46,1,2,HOH
9,5,2,4,48,2,2,HOOH
10,4,4,4,31,1,3,HOH
10,4,4,1,32,2,3,HWH
11,4,1,1,38,2,1,HWOWH
3,3,10,4,51,2,3,HOWH
3,2,10,1,27,2,3,HOOH
8,4,8,1,57,1,3,HOOH
7,4,5,2,45,2,3,HOWH
6,2,6,3,37,1,4,HOWOH
8,4,4,3,33,1,4,HOWOH
4,4,1,1,30,1,1,HOWH
10,5,4,4,41,1,4,HWH
10,1,4,5,16,2,4,HWH
4,3,10,3,55,1,2,HWWH
7,5,6,4,44,2,4,HOH
7,4,6,3,45,1,4,HWOWH
10,3,2,4,56,2,2,HOWH
10,2,2,3,59,1,2,HWH
6,5,1,4,52,2,1,HWOH
10,5,4,4,36,2,5,HOWOH
10,4,4,4,43,1,5,HWOH
6,5,2,4,64,1,3,HOOH
6,4,2,1,25,1,3,HWH
8,5,2,4,31,2,2,HWOH
8,4,2,4,33,1,2,HWOWH
6,2,1,3,55,2,1,HWOH
11,4,2,2,61,2,4,HWOH
11,5,2,4,62,1,4,HWH
7,3,2,1,42,1,2,HWOH
7,4,2,2,40,2,2,HWOH
6,3,9,97,66,2,1,HOWOH
8,3,4,1,35,2,7,HOOH
8,3,4,3,37,1,7,HWH
8,4,2,4,23,2,2,HOWOH
8,4,2,4,23,1,2,HWH
9,5,8,4,52,1,4,HWH
9,4,8,4,24,1,4,HWH
9,1,8,5,17,1,4,HWH
4,4,1,4,42,1,1,HOWH
6,4,7,4,53,2,2,HOH
7,5,10,1,66,1,2,HWWH
7,4,2,2,29,2,2,HWH
7,4,2,4,30,1,2,HWH
2,5,1,4,48,1,1,HWH
10,4,6,4,46,2,4,HOH
10,5,6,4,48,1,4,HWH
10,1,6,5,17,2,4,HWOWH
11,5,2,4,58,1,2,HOWH
11,4,2,4,54,2,2,HOWOH
8,4,2,4,45,1,2,HWOH
8,4,2,4,30,2,2,HWOH
6,5,2,4,28,2,2,HWH
9,5,2,2,28,2,2,HOH
9,4,2,4,32,1,2,HOWH
9,4,2,4,33,1,2,HOWOH
9,5,2,4,34,2,2,HWOH
6,3,10,4,64,2,2,HWH
11,5,10,4,68,1,2,HOWOH
8,4,6,4,50,2,5,HWH
8,1,6,4,18,1,5,HOH
6,5,1,4,63,2,1,HWOH
9,5,6,1,42,1,4,HWOWH
9,4,6,4,42,2,4,HWOH
10,3,2,2,54,2,2,HOWH
10,3,2,3,54,1,2,HOWH
6,5,8,4,49,1,4,HOH
6,5,8,4,49,2,4,HWH
6,1,8,5,16,2,4,HWH
7,4,2,4,43,2,2,HOWH
7,5,6,4,57,1,4,HWH
10,4,1,4,59,1,1,HOOH
10,5,8,4,45,1,3,HOOH
10,5,8,4,45,2,3,HOH
10,1,8,5,16,2,3,HOH
7,5,2,4,30,2,2,HWOH
7,3,2,4,34,1,2,HWOH
8,5,10,4,69,2,2,HWH
2,2,1,1,48,2,1,HWH
6,2,2,4,65,1,2,HWH
3,5,1,4,54,2,1,HWOH
